Company,Rank,Year,Revenue (in millions),Profit (in millions)
Aetna Inc.,88,2003,19878.7,
Teachers Insurance and Annuity Association College Retiremen,89,2003,19791,
"HCA, Inc",90,2003,19729,
Best Buy Co. Inc.,91,2003,19597,
The Coca-Cola Company,92,2003,19564,
"AutoNation, Inc.",93,2003,19478.5,
"Washington Mutual, Inc.",94,2003,19037,
"Cisco Systems, Inc.",95,2003,18915,
Weyerhaeuser Company,96,2003,18521,
Visteon Corporation,97,2003,18395,
Bristol-Myers Squibb Company,98,2003,18119,
Northrop Grumman Corporation,99,2003,17837,
Abbott Laboratories,100,2003,17684.7,
Sara Lee Corporation,101,2003,17628,
"Fleming Companies, Inc.",102,2003,17561.5,
WellPoint Health Networks Inc.,103,2003,17338.5,
AMR Corporation,104,2003,17299,
Raytheon Company,105,2003,16962,
Pharmacia Corporation,106,2003,16929,
Loews Corporation,107,2003,16898,
"Coca-Cola Enterprises, Inc.",108,2003,16889,
"Lehman Brothers Holdings, Inc.",109,2003,16781,
3M Company,110,2003,16332,
Nationwide Mutual Insurance Co.,111,2003,15949.3,
"Publix Super Markets, Inc.",112,2003,15930.6,
Northwestern Mutual Life Insurance Company,113,2003,15916.4,
Hartford Financial Services Group Inc.,114,2003,15907,
FleetBoston Financial Corporation,115,2003,15868,
Xerox Corporation,116,2003,15849,
Tech Data Corporation,117,2003,15738.9,
Duke Energy Corporation,118,2003,15663,
"AT&T Wireless Services, Inc.",119,2003,15632,
"American Electric Power Company, Inc.",120,2003,15583,
Qwest Communications International Inc.,121,2003,15487,
"Federated Department Stores, Inc.",122,2003,15435,
U.S. Bancorp,123,2003,15422.3,
McDonald's Corporation,124,2003,15405.7,
Rite Aid Corporation,125,2003,15171.1,
Exelon Corporation,126,2003,14955,
"Household International, Inc.",127,2003,14671.6,
Wyeth,128,2003,14584,
Liberty Mutual Insurance Group,129,2003,14544,
"The Gap, Inc.",130,2003,14454.7,
Lear Corporation,131,2003,14424.6,
UAL Corporation,132,2003,14286,
Cendant Corporation,133,2003,14243,
TXU Corp.,134,2003,14086,
Deere & Company,135,2003,13947,
Tenet Healthcare Corporation,136,2003,13913,
General Dynamics Corporation,137,2003,13863,
Emerson Electric Co.,138,2003,13824,
Goodyear Tire & Rubber,139,2003,13792.2,
PG&E Corp.,140,2003,13784,
Lucent Technologies Inc.,141,2003,13568,
"Anheuser-Busch Companies, Inc.",142,2003,13566.4,
Kimberly-Clark Corporation,143,2003,13566.3,
The May Department Stores Company,144,2003,13491,
"Delta Air Lines, Inc.",145,2003,13305,
"Anthem,Inc.",146,2003,13282.3,
"Express Scripts, Inc.",147,2003,13187.4,
"AdvancePCS, Inc.",148,2003,13107.3,
"Winn-Dixie Stores, Inc.",149,2003,12942.9,
Eastman Kodak Company,150,2003,12841,
"Circuit City Stores, Inc.",151,2003,12791.5,
El Paso Corporation,152,2003,12616,
Halliburton Company,153,2003,12572,
"Sunoco, Inc.",154,2003,12550,
"Sun Microsystems, Inc.",155,2003,12496,
Union Pacific Corporation,156,2003,12491,
Comcast Corporation,157,2003,12460,
Solectron Corporation,158,2003,12276.2,
FirstEnergy Corporation,159,2003,12152,
CInergy Corp.,160,2003,11990.1,
"The TJX Companies, Inc.",161,2003,11981.2,
Amerada Hess Corporation,162,2003,11932,
Edison International,163,2003,11838,
"Reliant Resources, Inc.",164,2003,11653.7,
"Staples, Inc.",165,2003,11596.1,
"Office Depot, Inc.",166,2003,11437.5,
Computer Sciences Corporation,167,2003,11426,
"Toys ""R"" Us, Inc.",168,2003,11305,
Humana Inc.,169,2003,11261.2,
PacifiCare Health Systems Inc.,170,2003,11156.5,
"Waste Management, Inc.",171,2003,11142,
Eli Lilly and Company,172,2003,11077.5,
Whirlpool Corporation,173,2003,11016,
Textron Inc.,174,2003,10658,
"Marriott International, Inc.",175,2003,10619,
Manpower Inc.,176,2003,10610.9,
Southern Company,177,2003,10549,
"Marsh & McLennan Companies, Inc.",178,2003,10440,
MBNA Corporation,179,2003,10430.9,
Xcel Energy Inc.,180,2003,10341,
AES Corporation,181,2003,10332,
Dana Corporation,182,2003,10283,
"AFLAC, Inc.",183,2003,10257,
"Dominion Resources, Inc.",184,2003,10218,
Health Net Inc.,185,2003,10201.5,
Fluor Corporation,186,2003,10190,
Schering-Plough Corporation,187,2003,10180,
"Nike, Inc.",188,2003,9893,
"Illinois Tool Works, Inc.",189,2003,9812.2,
Oracle Corporation,190,2003,9673,
Capital One Financial Corporation,191,2003,9647.6,
UnumProvident Corporation,192,2003,9560.4,
Northwest Airlines Corporation,193,2003,9489,
H.J. Heinz Company,194,2003,9431,
Masco Corporation,195,2003,9419.4,
"The Williams Companies, Inc.",196,2003,9390.8,
The Progressive Corporation,197,2003,9294.4,
Colgate-Palmolive Company,198,2003,9294.3,
United Services Automobile Association,199,2003,9221.9,
"The Pepsi Bottling Group, Inc.",200,2003,9216,
Dean Foods Company,201,2003,9213.4,
"Limited Brands, Inc.",202,2003,9152.9,
Chubb Corporation,203,2003,9140.3,
Kohl's Corporation,204,2003,9120.3,
Burlington Northern Santa Fe Corp.,205,2003,8979,
"Avnet, Inc.",206,2003,8920.2,
"The St. Paul Companies, Inc.",207,2003,8917.7,
John Hancock Financial Services Inc.,208,2003,8910.7,
Countrywide Financial Corporation,209,2003,8875.2,
"Principal Financial Group, Inc.",210,2003,8868.3,
"Public Service Enterprise Group, Inc.",211,2003,8829,
Aon Corporation,212,2003,8822,
Aramark Corporation,213,2003,8769.8,
Sanmina-SCI Corporation,214,2003,8761.6,
National City Corporation,215,2003,8727.9,
"Nextel Communications, Inc.",216,2003,8721,
"Consolidated Edison, Inc.",217,2003,8481.9,
Gillette Company,218,2003,8453,
"Clear Channel Communications, Inc.",219,2003,8421.1,
"Continental Airlines, Inc.",220,2003,8402,
"Plains All American Pipeline, L.P.",221,2003,8384.2,
Baxter International Inc.,222,2003,8384,
Texas Instruments Incorporated,223,2003,8383,
Entergy Corporation,224,2003,8305,
Kellogg Company,225,2003,8304.1,
"FPL Group, Inc.",226,2003,8280,
Genuine Parts Company,227,2003,8258.9,
"Progress Energy, Inc.",228,2003,8244.9,
Dillard's Inc.,229,2003,8233.9,
Smurfit-Stone Container Corporation,230,2003,8209,
CSX,231,2003,8152,
Guardian Life Insurance Co. of America,232,2003,8136.1,
"PPG Industries, Inc.",233,2003,8067,
ALLTEL Corporation,234,2003,7983.4,
"General Mills, Inc.",235,2003,7949,
"CenterPoint Energy, Inc.",236,2003,7922.5,
Cenex Harvest States Cooperatives,237,2003,7845.2,
"American Standard Companies, Inc.",238,2003,7795.4,
Ashland Inc.,239,2003,7792,
"Yum! Brands, Inc.",240,2003,7757,
Centex Corporation,241,2003,7748.4,
First Data Corporation,242,2003,7636.2,
"Farmland Industries, Inc.",243,2003,7580.2,
"United Auto Group, Inc.",244,2003,7576.5,
"Arrow Electronics, Inc",245,2003,7570.7,
Calpine Corporation,246,2003,7551.4,
Omnicom Group Inc.,247,2003,7536.3,
"SunTrust Banks, Inc.",248,2003,7526.9,
MeadWestvaco Corporation,249,2003,7489,
"Pulte Homes, Inc.",250,2003,7471.8,
Newell Rubbermaid Inc.,251,2003,7453.9,
Occidental Petroleum Corporation,252,2003,7429,
"Sonic Automotive, Inc.",253,2003,7414.6,
Boise Cascade Corporation,254,2003,7412.3,
Smithfield Foods,255,2003,7356.1,
Lennar Corp.,256,2003,7319.8,
Paccar Inc.,257,2003,7218.6,
Eaton Corporation,258,2003,7209,
Mirant Corp.,259,2003,7125,
Safeco Corporation,260,2003,7065.1,
"Automatic Data Processing, Inc.",261,2003,7004.3,
"US Airways Group, Inc.",262,2003,6977,
Tesoro Petroleum Corporation,263,2003,6952.3,
United States Steel Corporation,264,2003,6949,
"The Bear Stearns Companies, Inc.",265,2003,6890.8,
"ArvinMeritor, Inc.",266,2003,6882,
"Caremark Rx, Inc.",267,2003,6805.3,
"Crown Holdings, Inc.",268,2003,6792,
Premcor Inc.,269,2003,6772.8,
DTE Energy Company,270,2003,6749,
"D.R. Horton, Inc.",271,2003,6738.8,
CMS Energy Corporation,272,2003,6676,
NiSource Inc.,273,2003,6525,
Navistar International Corporation,274,2003,6513,
"Gannett Co., Inc.",275,2003,6422.2,
"Medtronic, Inc.",276,2003,6410.8,
PNC Financial Services Group Inc.,277,2003,6369,
Fifth Third Bancorp,278,2003,6323.5,
Norfolk Southern Corporation,279,2003,6270,
"Avon Products, Inc.",280,2003,6228.3,
"R. J. Reynolds Tobacco Holdings, Inc.",281,2003,6211,
"Interpublic Group of Companies, Inc.",282,2003,6203.6,
Parker-Hannifin Corporation,283,2003,6149.1,
"Conseco, Inc.",284,2003,6147.8,
KeyCorp,285,2003,6135,
Campbell Soup Co.,286,2003,6133,
BB&T Corp.,287,2003,6126.5,
Science Applications International Corporation,288,2003,6104.4,
Keyspan Corporation,290,2003,6086.8,
Sempra Energy,291,2003,6020,
Agilent Technologies Inc.,292,2003,6010,
"Nortstrom, Inc.",293,2003,5975.1,
"Saks, Incorporated",294,2003,5911.1,
"BJ's Wholesale Club, Inc.",295,2003,5901.8,
Cummins,296,2003,5853,
Dollar General Corporation,297,2003,5847,
"Owens-Illinois, Inc.",298,2003,5760.1,
"The Bank of New York Company, Inc.",299,2003,5756,
"Apple Computer, Inc.",300,2003,5742,
Rohm and Haas Company,301,2003,5727,
Thrivent Financial for Lutherans,302,2003,5618,
Unisys Corporation,303,2003,5607.4,
NCR Corporation,304,2003,5585,
"Amgen, Inc",305,2003,5523,
universal,306,2003,5521.8,
Allied Waste Industries,307,2003,5517.3,
EMC Corporation,308,2003,5438.4,
PPL Corporation,309,2003,5429,
Federal-Mogul Corporation,310,2003,5422.4,
"Air Products & Chemicals, Inc",311,2003,5401.2,
Tribune Company,312,2003,5384.4,
Fortune Brands,313,2003,5366.6,
"AutoZone, Inc.",314,2003,5325.5,
Eastman Chemical,315,2003,5320,
Unocal Corporation,316,2003,5297,
"CIT Group, Inc.",317,2003,5275.1,
Barnes & Noble Inc.,318,2003,5269.3,
"USA Interactive, Inc.",319,2003,5214.7,
Baker Hughes Incorporated,320,2003,5207.5,
The Sherwin-Williams Company,321,2003,5184.8,
VF Corporation,322,2003,5181.5,
American Family Mutual Insurance Company,323,2003,5144.7,
"Praxair, Inc.",324,2003,5128,
WellChoice Inc.,325,2003,5105.6,
"Fidelity National Financial, Inc.",326,2003,5082.6,
"Applied Materials, Inc.",327,2003,5062.3,
SPX Corporation,328,2003,5045.8,
"Cox Communications, Inc.",329,2003,5038.6,
Northeast Utilities,330,2003,5034.9,
"OM Group, Inc.",331,2003,5034.4,
KB Home,332,2003,5030.8,
"ITT Industries, Inc.",333,2003,4985.3,
"Oxford Health Plans, Inc.",334,2003,4963.4,
Avaya Inc.,335,2003,4956,
Dynegy Inc.,336,2003,4950,
"Mattel, Inc.",337,2003,4885.3,
Owens Corning,338,2003,4872,
"Ikon Office Solutions, Inc.",339,2003,4827.5,
State Street Corporation,340,2003,4824,
Echostar Communications Corporation,341,2003,4820.8,
Nucor,342,2003,4801.8,
"The McGraw-Hill Companies, Inc.",343,2003,4787.7,
Maytag Corporation,344,2003,4778.5,
"Ryder System, Inc.",345,2003,4776.3,
"OfficeMax, Inc.",346,2003,4775.6,
CNF Inc.,347,2003,4762.1,
R.R. Donnelley & Sons Company,348,2003,4754.9,
The Estee Lauder Companies Inc.,349,2003,4743.7,
Mellon Financial Corp.,350,2003,4737,
The First American Corporation,351,2003,4704.2,
"Constellation Energy Group, Inc.",352,2003,4703,
Temple-Inland Inc.,353,2003,4660,
Park Place Entertainment Corporation,354,2003,4652,
"W.W. Grainger, Inc.",355,2003,4643.9,
Lincoln National Corporation,356,2003,4635.5,
Danaher Corporation,357,2003,4577.2,
RadioShack Corporation,358,2003,4577.2,
Jacobs Engineering Group Inc.,359,2003,4555.7,
"Asbury Automotive Group, Inc.",360,2003,4539.9,
"Mohawk Industries, Inc.",361,2003,4522.3,
"Charter Communications, Inc.",362,2003,4522.3,
"Foot Locker, Inc.",363,2003,4509,
The Charles Schwab Corporation,364,2003,4480,
"Autoliv, Inc.",365,2003,4443.4,
Performance Food Group Company,366,2003,4438.4,
Longs Drug Stores Corporation,367,2003,4426.3,
Pitney Bowes Inc.,368,2003,4409.8,
Devon Energy Corporation,369,2003,4396,
The Black & Decker Corporation,370,2003,4394,
"Dole Food Company, Inc.",371,2003,4392.1,
"Darden Restaurants, Inc.",372,2003,4368.7,
"Lexmark International, Inc.",373,2003,4356.4,
Mutual of Omaha Insurance Companies,374,2003,4352.9,
"Jones Apparel Group, Inc.",375,2003,4340.9,
AK Steel Holding Corporation,376,2003,4340.4,
"Pepco Holdings, Inc.",377,2003,4324.5,
"Kelly Services, Inc.",378,2003,4323.5,
HEALTHSOUTH Corporation,379,2003,4310.8,
"Leggett & Platt, Incorporated",380,2003,4271.8,
CDW Computer Centers,381,2003,4264.6,
Dover Corporation,382,2003,4251,
Group 1 Automotive Inc.,383,2003,4214.4,
Avery Dennison Corporation,384,2003,4206.9,
Goodrich Corporation,385,2003,4199.7,
"Harrah's Entertainment, Inc.",386,2003,4172.1,
"Gateway, Inc.",387,2003,4171.3,
"Family Dollar Stores, Inc.",388,2003,4162.7,
Levi Strauss & Co.,389,2003,4136.6,
Hershey Foods Corporation,390,2003,4120.3,
Quest Diagnostics Incorporated,391,2003,4108.1,
"Harley-Davidson, Inc.",392,2003,4091,
Providian Financial Corporation,393,2003,4072.6,
The Clorox Company,394,2003,4061,
The Pittston Company,395,2003,4043.2,
"Becton, Dickinson and Company",396,2003,4033.1,
MGM Mirage,397,2003,4031.3,
"L-3 Communications Holdings, Inc.",398,2003,4011.2,
Energy East Corporation,399,2003,4008.9,
Cablevision Systems Corp.,400,2003,4003.4,
"Graybar Electric Company, Inc.",401,2003,3987,
Murphy Oil Corporation,402,2003,3975.7,
"NTL Europe, Inc.",403,2003,3969.5,
"Emcor Group, Inc.",404,2003,3968.1,
"Owens & Minor, Inc.",405,2003,3959.8,
"Pathmark Stores, Inc.",406,2003,3938.1,
Amazon.Com Inc.,407,2003,3932.9,
Hormel Foods Corporation,408,2003,3910.3,
Rockwell Automation Inc.,409,2003,3909,
Nash Finch Company,410,2003,3900,
Collins & Aikman Corporation,411,2003,3885.8,
"Starwood Hotels & Resorts Worldwide, Inc.",412,2003,3879,
"Big Lots, Inc.",413,2003,3868.6,
Anadarko Petroleum Corp.,414,2003,3860,
Ball Corporation,415,2003,3858.9,
53,416,2003,3847,
York International Corporation,417,2003,3843.4,
Ameren Corporation,418,2003,3841,
Pacific LifeCorp,419,2003,3816,
Regions Financial Corporation,420,2003,3795.9,
Maxtor Corporation,421,2003,3779.5,
Adolph Coors Company,422,2003,3776.3,
Engelhard Corporation,423,2003,3753.6,
"American Financial Group, Inc.",424,2003,3749.6,
Golden West Financial Corporation,425,2003,3744,
Wisconsin Energy Corporation,426,2003,3736,
Kerr-McGee,426,2003,3736,
Phelps Dodge Corporation,428,2003,3722,
"Liz Claiborne, Inc.",429,2003,3717.5,
Brunswick Corporation,430,2003,3711.9,
United Stationers Inc.,431,2003,3701.6,
"Peter Kiewit Sons', Inc.",432,2003,3699,
Comerica Incorporated,433,2003,3697,
Host Marriott Corporation,434,2003,3680,
"Washington Group International, Inc.",435,2003,3661.5,
"Roundy's, Inc.",436,2003,3637.9,
ServiceMaster,437,2003,3628,
"Enterprise Products Partners,, L.P.",438,2003,3623.8,
Coventry Health Care Inc.,439,2003,3576.9,
Bethlehem Steel Corporation,440,2003,3572.4,
"Jabil Circuit, Inc.",441,2003,3545.5,
"Triad Hospitals, Inc.",442,2003,3541.1,
Interstate Bakeries Corporation,443,2003,3532.4,
"Ross Stores, Inc.",444,2003,3531.3,
Auto-Owners Insurance Group,445,2003,3514.1,
"Borders Group, Inc.",446,2003,3513,
"Spartan Stores, Inc.",447,2003,3510.4,
Equity Office Properties Trust,448,2003,3506.1,
Encompass Services Corporation,449,2003,3486.3,
"American Axle & Manufacturing Holdings, Inc.",450,2003,3480.2,
Jefferson-Pilot Corporation,451,2003,3480,
USG Corporation,452,2003,3468,
Tenneco Automotive Inc.,453,2003,3459,
Erie Insurance Group,454,2003,3439.8,
Corning Inc.,455,2003,3432,
Allmerica Financial Corporation,456,2003,3419.2,
Ecolab Inc.,457,2003,3403.6,
Airborne Inc.,458,2003,3343.7,
Cooper Tire & Rubber Company,459,2003,3330,
SouthTrust Corporation,460,2003,3326.4,
"Wesco International, Inc.",461,2003,3325.8,
"H&R Block, Inc.",462,2003,3317.7,
"Kindred Healthcare, Inc.",463,2003,3299.1,
"C. H. Robinson Worldwide, Inc.",464,2003,3294.5,
Starbucks Corporation,465,2003,3288.9,
"Advance Auto Parts, Inc.",466,2003,3287.9,
mar,467,2003,3262,
"Universal Health Services, Inc.",468,2003,3258.9,
"ShopKo Stores, Inc.",469,2003,3252.8,
"PepsiAmericas, Inc.",470,2003,3239.8,
Guidant Corporation,471,2003,3239.6,
Fisher Scientific International Inc.,472,2003,3238.4,
SLM Corporation,474,2003,3205.3,
Sealed Air Corporation,475,2003,3204.3,
Roadway Corporation,476,2003,3181.8,
Aquila,477,2003,3179.3,
"Armstrong Holdings, Inc.",478,2003,3172.3,
"The Shaw Group, Inc.",479,2003,3170.7,
"Smith International, Inc.",480,2003,3170.1,
"Level 3 Communications, Inc.",481,2003,3148,
"NVR, Inc.",482,2003,3136.3,
Reebok International Ltd.,483,2003,3127.9,
OGE Energy Corp,484,2003,3103.4,
Steelcase Inc.,485,2003,3089.5,
The New York Times Company,486,2003,3079,
"Hughes Supply, Inc.",487,2003,3066.3,
"Affiliated Computer Services, Inc.",488,2003,3062.9,
Qualcomm Incorporated,489,2003,3039.6,
Ace Hardware,490,2003,3029,
"Lennox International, Inc.",491,2003,3025.8,
AmSouth Bancorporation,492,2003,3024.6,
Stryker Corporation,493,2003,3011.6,
Sierra Pacific Resources,494,2003,2991.7,
"Telephone and Data Systems, Inc.",495,2003,2985.4,
Allegheny Energy Incorporated,496,2003,2964.8,
"Computer Associates International, Inc.",497,2003,2964,
Burlington Resources Inc.,497,2003,2964,
SCANA Corporation,499,2003,2954,
"The Neiman Marcus Group, Inc.",500,2003,2948.3,
"Wal-Mart Stores, Inc.",1,2004,258681,
Exxon Mobil Corporation,2,2004,213199,
General Motors Corporation,3,2004,195645.2,
Ford Motor Company,4,2004,164496,
General Electric Company,5,2004,134187,
ChevronTexaco Corporation,6,2004,112937,
ConocoPhillips,7,2004,99468,
"Citigroup, Inc.",8,2004,94713,
International Business Machines Corporation,9,2004,89131,
"American International Group,Inc.",10,2004,81300,
Hewlett-Packard Company,11,2004,73061,
Verizon Communications Inc.,12,2004,67752,
"The Home Depot, Inc.",13,2004,64816,
Berkshire Hathaway Inc.,14,2004,63859,
"Altria Group, Inc.",15,2004,60704,
McKesson Corporation,16,2004,57129.2,
"Cardinal Health, Inc.",17,2004,56829.5,
State Farm Insurance Cos.,18,2004,56064.6,
The Kroger Company,19,2004,53790.8,
Fannie Mae,20,2004,53766.9,
The Boeing Company,21,2004,50485,
AmerisourceBergen Corp.,22,2004,49657.3,
Target Corporation,23,2004,48163,
Bank of America Corporation,24,2004,48065,
Pfizer Inc.,25,2004,45950,
J.P. Morgan Chase & Co.,26,2004,44363,
Time Warner Inc.,27,2004,43877,
The Procter & Gamble Company,28,2004,43377,
Costco Wholesale Corporation,29,2004,42545.6,
Johnson & Johnson,30,2004,41862,
Dell Inc.,31,2004,41444,
Sears Roebuck and Company,32,2004,41124,
SBC Communications Inc.,33,2004,40843,
Valero Energy Corp,34,2004,37968.6,
Marathon Oil Corporation,35,2004,37137,
MetLife Inc.,36,2004,36261,
Safeway Inc.,37,2004,35552.7,
"Albertson's, Inc.",38,2004,35436,
Morgan Stanley,39,2004,34933,
AT&T,40,2004,34529,
Medco Health Solutions,41,2004,34264.5,
"United Parcel Service, Inc.",42,2004,33485,
"J.C. Penney Company, Inc.",43,2004,32923,
The Dow Chemical Company,44,2004,32632,
Walgreen Co.,45,2004,32505.4,
Microsoft Corporation,46,2004,32187,
The Allstate Corporation,47,2004,32149,
Lockheed Martin Corporation,48,2004,31844,
Wells Fargo,49,2004,31800,
"Lowe's Companies, Inc.",50,2004,31263,
United Technologies Corporation,51,2004,31034,
Archer-Daniels-Midland Company,52,2004,30708,
Intel Corporation,53,2004,30141,
"UnitedHealth Group, Incorporated",54,2004,28823,
